student_code,gpa,failed_subjects,credits_completed,attendance_rate,login_count,assignment_submitted,assignment_missing,forum_posts,video_views,learning_hours,academic_score,attendance_score,engagement_score,dropout_risk
SV1034,7.42,1,105,64.24,17,15,2,4,24,14.0,0.7894,0.6424,0.6202360459648003,0
SV1035,8.19,0,40,78.97,24,5,0,7,29,16.8,0.8733,0.7897,0.7736140954445208,0
SV1036,6.33,0,87,84.3,29,6,5,3,32,0.0,0.7431,0.843,0.5813746916657268,1
SV1037,5.24,0,77,90.39,32,12,0,4,28,9.0,0.6668000000000001,0.9039,0.7769400870940525,0
SV1038,5.26,6,27,65.91,28,14,1,7,31,18.6,0.48819999999999997,0.6591,0.7804286360808035,1
SV1039,7.48,0,102,72.82,24,13,1,4,28,15.1,0.8235999999999999,0.7282,0.699588178710234,0
SV1040,7.61,0,79,37.44,21,7,3,6,22,23.1,0.8327,0.37439999999999996,0.5898669214721055,0
SV1041,,0,27,68.68,15,12,2,4,18,22.2,0.8116999999999999,0.6868000000000001,0.5706841603161351,0
SV1042,5.5,2,115,70.13,25,11,8,2,22,13.8,0.625,0.7012999999999999,0.5112906783729365,1
SV1043,6.85,0,133,,26,4,3,3,28,10.5,0.7794999999999999,0.6271,0.5552897889877282,1
SV1044,6.68,0,135,80.48,34,8,1,4,33,6.2,0.7675999999999998,0.8048000000000001,0.7674180303412915,0
SV1045,6.83,0,101,77.16,34,5,2,5,41,9.1,0.7781,0.7716,0.7475767571237537,0
SV1046,7.81,1,91,44.11,20,11,2,1,21,9.6,0.8166999999999999,0.4411,0.569503634645631,0
SV1047,6.84,0,130,81.23,18,19,3,2,30,8.4,0.7787999999999999,0.8123,0.618846982693916,1
SV1048,7.52,0,140,64.08,28,11,2,5,27,6.5,0.8264,0.6408,0.7001022975004111,0
SV1049,6.6,0,124,85.29,21,18,2,9,24,14.4,0.7619999999999999,0.8529000000000001,0.7198669275464841,0
SV1050,6.93,0,62,58.77,18,10,3,3,27,22.2,0.7850999999999999,0.5877,0.5810847360357678,1
SV1051,7.45,0,96,78.45,32,5,0,4,33,17.6,0.8214999999999999,0.7845,0.7996673126381427,0
SV1052,4.31,1,103,73.75,30,14,0,6,33,10.1,0.5716999999999999,0.7375,0.8147449672063116,0
SV1053,6.02,0,36,82.55,19,12,2,2,24,18.1,0.7213999999999999,0.8255,0.5950744054831941,0
SV1054,5.79,0,104,79.87,23,6,3,2,24,14.1,0.7052999999999999,0.7987000000000001,0.5432741674604408,0
SV1055,5.54,3,140,74.17,28,10,5,2,34,11.8,0.5978,0.7417,0.6192165278682219,1
SV1056,6.09,0,109,54.96,21,12,2,3,26,11.4,0.7263,0.5496,0.6299967984179635,1
SV1057,8.74,0,134,55.84,15,11,3,2,24,10.8,0.9117999999999999,0.5584,0.5421127356450266,0
SV1058,5.2,0,95,69.24,25,9,6,0,28,15.9,0.6639999999999999,0.6923999999999999,0.5197117290523855,0
SV1059,7.95,2,88,77.88,25,5,2,3,32,12.8,0.7965,0.7787999999999999,0.6245168949090274,0
SV1060,3.98,1,101,68.88,18,7,2,4,26,7.6,0.5486,0.6888,0.5935944365098565,0
SV1061,6.0,0,66,87.38,22,11,0,5,32,7.3,0.72,0.8737999999999999,0.7477826559601517,0
SV1062,6.74,0,61,73.81,20,7,0,5,21,13.8,0.7718,0.7381,0.6855875146635219,0
SV1063,7.38,1,128,63.52,20,18,4,3,22,14.6,0.7866,0.6352,0.5901330138518259,1
SV1064,7.57,0,131,73.83,25,10,6,6,32,10.1,0.8298999999999999,0.7383,0.6297117215761463,0
SV1065,7.69,0,60,81.39,33,9,1,9,34,5.2,0.8383,0.8139,0.8384921838906396,0
SV1066,5.98,0,119,82.87,22,8,2,6,22,19.5,0.7186,0.8287,0.6359644782989946,0
SV1067,5.81,0,87,100.0,31,9,0,3,34,18.2,0.7066999999999999,1.0,0.7844788794122531,0
SV1068,,0,100,67.97,28,12,7,2,32,0.1,0.8452999999999999,0.6797,0.5960905357460046,1
SV1069,6.21,0,104,76.9,27,15,1,6,30,20.0,0.7346999999999999,0.769,0.7578159265331268,0
SV1070,4.59,1,120,84.39,26,9,1,8,23,10.7,0.5912999999999999,0.8439,0.7321728968420876,1
SV1071,4.8,0,92,77.65,30,10,1,1,38,13.1,0.6359999999999999,0.7765000000000001,0.7329267865835256,0
SV1072,5.12,3,132,70.49,27,16,3,4,22,18.8,0.5684,0.7049,0.6560216771746735,1
SV1073,7.25,0,99,54.76,18,10,2,8,23,21.9,0.8074999999999999,0.5476,0.6567257517825318,0
SV1074,6.71,1,109,70.34,25,11,4,4,32,18.0,0.7397,0.7034,0.6457723261855358,0
SV1075,7.54,0,65,61.89,20,6,1,2,38,13.4,0.8277999999999999,0.6189,0.6648083040103748,0
SV1076,5.86,3,140,52.1,15,9,4,0,24,3.7,0.6202,0.521,0.4774773746362051,1
SV1077,6.74,1,104,66.06,18,7,1,3,22,0.0,0.7418,0.6606000000000001,0.600665136051359,1
SV1078,7.44,0,111,62.29,26,12,3,2,29,17.3,0.8208,0.6229,0.6376274637814786,1
SV1079,6.04,0,42,86.76,27,7,0,6,26,20.1,0.7227999999999999,0.8676,0.7646340750591814,0
SV1080,7.19,0,65,87.02,22,14,3,1,25,7.1,0.8033000000000001,0.8702,0.590830806970687,0
SV1081,,1,127,64.44,19,10,2,4,26,10.4,0.6557,0.6444,0.6219142263490895,1
SV1082,5.96,0,99,74.1,23,14,3,2,26,8.7,0.7172,0.741,0.6151101846364188,0
SV1083,5.93,1,33,50.13,14,13,1,3,27,8.5,0.6851,0.5013000000000001,0.6204307536025034,0
SV1084,4.71,1,121,70.58,22,14,1,4,34,18.4,0.5996999999999999,0.7058,0.7165705472558341,0
SV1085,7.23,0,74,83.98,28,7,1,10,27,13.3,0.8061,0.8398,0.7798225533078507,0
SV1086,5.8,1,132,90.37,24,11,0,7,26,10.6,0.6759999999999999,0.9037000000000001,0.7599777757544254,0
SV1087,6.52,1,87,67.3,20,6,2,6,21,27.9,0.7263999999999999,0.6729999999999999,0.5992238967030699,0
SV1088,7.22,0,96,93.78,26,6,1,9,32,3.4,0.8053999999999999,0.9378,0.7695754790956751,0
SV1089,7.17,0,125,55.26,28,13,3,3,24,15.3,0.8018999999999998,0.5526,0.6457316766420399,0
SV1090,7.5,1,63,59.29,21,7,1,5,26,5.7,0.7949999999999999,0.5929,0.6644123610940089,1
SV1091,6.35,1,60,88.64,28,10,1,6,32,11.1,0.7144999999999999,0.8864,0.7616407502603271,0
SV1092,5.87,1,84,100.0,32,7,0,3,24,12.9,0.6809,1.0,0.7451218831192447,0
SV1093,6.38,2,115,85.4,25,7,3,3,28,17.1,0.6866,0.8540000000000001,0.6006208042424702,1
SV1094,3.97,1,50,77.39,26,13,2,5,28,10.4,0.5479,0.7739,0.7006577614183019,1
SV1095,4.33,1,40,45.07,25,17,5,2,28,9.8,0.5730999999999999,0.4507,0.6160753648870959,1
SV1096,4.52,0,115,47.66,19,6,4,4,24,10.3,0.6164,0.47659999999999997,0.5194899879092365,0
SV1097,5.0,0,72,79.94,39,12,1,2,32,5.5,0.6499999999999999,0.7994,0.7797628800192152,0
SV1098,7.1,0,78,72.63,20,10,2,2,27,15.8,0.7969999999999999,0.7263,0.6052845168247384,0
SV1099,5.14,0,34,61.41,19,13,0,6,24,13.7,0.6597999999999999,0.6141,0.7067627059333943,0
SV1100,5.93,1,70,78.98,28,9,2,3,28,14.6,0.6851,0.7898000000000001,0.6661862122437976,0
SV1101,8.45,0,90,79.73,22,6,0,3,26,185.39999999999998,0.8915,0.7973,0.693237174210848,1
SV1102,5.97,1,118,92.17,41,9,0,3,44,10.8,0.6879,0.9217,0.8909090321026284,0
SV1103,7.61,0,67,80.05,28,15,1,4,31,19.1,0.8327,0.8005,0.7411862170087757,0
SV1104,5.1,0,140,96.43,26,9,0,3,27,18.1,0.657,0.9643,0.722172894182768,1
SV1105,6.19,0,69,78.12,19,8,0,5,26,20.5,0.7333,0.7812,0.7022172331902322,0
SV1106,5.07,2,70,76.27,25,11,1,1,28,14.2,0.5949,0.7626999999999999,0.6600147435601924,1
SV1107,5.99,3,136,93.96,22,13,0,6,26,20.1,0.6293,0.9396,0.7341462972983581,0
SV1108,7.76,0,96,63.32,21,6,0,5,26,9.5,0.8432,0.6332,0.7144123381773478,0
SV1109,3.91,1,73,100.0,30,10,0,3,38,10.8,0.5437000000000001,1.0,0.7965631407984028,1
SV1110,7.15,0,85,83.63,31,13,0,3,30,19.2,0.8005,0.8362999999999999,0.7662970753188691,0
SV1111,6.86,0,131,83.71,26,8,5,6,31,17.1,0.7802,0.8371,0.6274176708048218,0
SV1112,5.61,2,134,85.88,26,8,0,4,32,10.3,0.6327,0.8588,0.7585365232346518,0
SV1113,4.33,3,65,100.0,29,12,0,4,22,5.7,0.5131,1.0,0.7313746779604936,1
SV1114,6.61,0,89,89.89,23,12,2,4,28,10.8,0.7626999999999999,0.8989,0.6649191913527329,1
SV1115,5.71,1,93,53.92,18,12,2,4,18,7.9,0.6697,0.5392,0.5889768427968015,1
SV1116,6.85,0,60,99.05,30,12,0,1,30,22.3,0.7794999999999999,0.9904999999999999,0.7329267871344894,0
SV1117,6.53,6,88,72.89,19,8,5,5,28,16.6,0.5771,0.7289,0.5574620192934598,1
SV1118,8.9,0,90,79.61,23,14,2,7,26,7.4,0.923,0.7961,0.703880229416171,0
SV1119,6.14,0,124,58.81,19,14,1,3,22,5.7,0.7298,0.5881000000000001,0.6300960490726883,0
SV1120,4.96,0,126,85.89,23,11,0,4,26,7.3,0.6472,0.8589,0.7129711277374536,0
SV1121,6.77,0,80,68.23,23,9,1,3,30,8.6,0.7738999999999999,0.6823,0.677516583472991,0
SV1122,6.83,0,84,79.5,31,8,4,6,34,11.0,0.7781,0.795,0.6920546554912219,1
SV1123,8.54,0,110,73.74,26,10,0,1,35,18.7,0.8977999999999999,0.7373999999999999,0.7312638093710128,0
SV1124,7.75,0,72,100.0,32,15,1,4,39,6.2,0.8425,1.0,0.8019400958535208,0
SV1125,7.04,0,108,100.0,31,12,0,3,30,25.7,0.7928,1.0,0.766297072754767,0
SV1126,8.69,0,87,78.7,23,10,2,4,26,6.3,0.9082999999999999,0.787,0.6463044696566446,0
SV1127,4.72,1,61,78.96,26,8,5,4,35,3.5,0.6004,0.7896,0.6183267637800282,0
SV1128,5.54,2,61,72.4,17,14,4,5,22,22.1,0.6278,0.7240000000000001,0.5829514375950148,1
SV1129,5.11,0,133,94.59,35,11,0,8,30,19.9,0.6577,0.9459000000000001,0.8588691250154912,0
SV1130,5.92,1,85,73.07,23,6,0,2,30,10.9,0.6843999999999999,0.7306999999999999,0.7038801904096375,1
SV1131,4.43,2,139,71.68,24,13,1,3,30,14.3,0.5500999999999999,0.7168000000000001,0.6950427251978373,1
SV1132,7.45,0,75,92.68,25,10,8,6,26,14.4,0.8214999999999999,0.9268000000000001,0.5746612204247967,0
SV1133,6.17,0,99,69.93,21,11,7,2,28,12.8,0.7319,0.6993,0.5270386574024163,0
SV1134,4.29,2,140,77.43,27,9,2,3,28,4.2,0.5403,0.7743000000000001,0.6600886514169089,0
SV1135,4.98,1,58,54.28,23,7,2,3,26,0.0,0.6186,0.5428000000000001,0.6104458782476061,1
SV1136,6.97,0,33,88.56,31,5,0,6,24,6.9,0.7878999999999999,0.8856,0.7799333866253038,0
SV1137,7.76,0,129,100.0,33,6,0,4,34,22.9,0.8432,1.0,0.8103103412405088,0
SV1138,9.5,0,65,88.82,24,11,0,5,24,23.1,0.9649999999999999,0.8881999999999999,0.7236141420767391,0
SV1139,10.0,0,89,99.93,35,10,4,2,34,10.4,1.0,0.9993000000000001,0.680947070073677,0
SV1140,7.12,0,72,65.31,25,14,1,2,34,6.3,0.7984,0.6531,0.7075905049431117,0
SV1141,5.02,0,98,81.54,27,11,3,2,38,13.7,0.6514,0.8154,0.6789198277577745,0
SV1142,3.3,1,61,63.85,29,8,1,3,28,14.6,0.501,0.6385000000000001,0.7005665915994096,0
SV1143,6.9,2,85,74.58,23,4,2,7,24,15.6,0.723,0.7458,0.6114559646291018,1
SV1144,5.28,1,103,89.58,20,9,0,3,21,0.0,0.6396,0.8957999999999999,0.6583148025685428,0
SV1145,5.88,3,60,79.53,18,7,4,4,16,30.9,0.6215999999999999,0.7953,0.49157424695011603,1
SV1146,5.58,1,69,56.81,25,8,1,7,22,18.8,0.6606000000000001,0.5681,0.7034490712257393,1
SV1147,6.29,0,80,58.27,29,16,3,1,34,10.8,0.7403,0.5827,0.6818531649441533,1
SV1148,8.1,0,47,57.28,27,12,4,6,30,7.7,0.867,0.5728,0.6828159312206266,0
SV1149,6.74,0,77,85.37,27,10,0,7,26,17.9,0.7718,0.8537,0.7782704545987288,0
SV1150,6.26,0,94,100.0,26,10,0,7,36,15.0,0.7382,1.0,0.8176274381933276,0
SV1151,4.95,2,78,98.44,25,11,1,1,24,12.6,0.5865,0.9843999999999999,0.6418329257915973,1
SV1152,3.99,2,82,,19,11,1,2,34,14.8,0.5193,0.49560000000000004,0.6643384676484467,1
SV1153,5.77,0,89,99.32,32,11,0,2,35,11.3,0.7039,0.9932,0.7814855403654026,0
SV1154,6.42,3,70,92.05,25,6,0,5,22,14.4,0.6594,0.9205,0.7206207637163078,1
SV1155,9.15,0,111,54.82,17,7,4,3,24,16.4,0.9404999999999999,0.5482,0.5082039592637231,0
SV1156,6.7,0,133,73.45,22,10,1,1,30,14.1,0.7689999999999999,0.7345,0.6477826644312253,0
SV1157,7.97,0,76,94.43,28,12,0,3,28,13.7,0.8578999999999999,0.9443,0.7389134813898032,0
SV1158,5.75,1,105,86.26,24,8,2,6,29,20.4,0.6725,0.8626,0.6799777810478136,0
SV1159,4.72,0,83,58.36,23,8,1,5,24,2.4,0.6304,0.5836,0.6730721336628706,0
SV1160,5.05,0,101,87.16,27,9,3,6,34,7.2,0.6535,0.8715999999999999,0.7009977427392227,0
SV1161,5.41,1,137,45.94,29,5,3,4,32,12.2,0.6487,0.4594,0.6268292244653157,1
SV1162,9.69,0,105,74.66,32,7,3,2,30,7.6,0.9783,0.7465999999999999,0.6387582765182946,0
SV1163,5.27,0,37,95.07,31,7,0,6,28,9.6,0.6688999999999998,0.9506999999999999,0.7981152272510339,0
SV1164,7.76,0,104,78.28,24,6,1,4,24,19.7,0.8432,0.7828,0.6528349099212359,0
SV1165,5.15,3,127,70.52,21,14,0,7,22,11.1,0.5705,0.7051999999999999,0.7235032832973706,1
SV1166,7.9,0,83,91.34,27,8,0,2,30,1.0,0.853,0.9134,0.7282704503838544,0
SV1167,7.08,1,120,92.62,26,8,1,2,29,9.5,0.7656,0.9262,0.6731830011641977,0
SV1168,6.27,0,69,97.65,20,9,0,4,24,12.3,0.7388999999999999,0.9765,0.6855875282916833,0
SV1169,6.44,0,45,91.12,31,15,0,2,34,12.2,0.7507999999999999,0.9112,0.7708425347933333,0
SV1170,5.52,1,94,94.22,25,11,0,4,24,15.3,0.6563999999999999,0.9422,0.7160753405069336,1
SV1171,7.17,0,37,88.99,24,12,3,5,30,14.8,0.8018999999999998,0.8898999999999999,0.6708868837599329,0
SV1172,5.82,2,83,81.98,25,11,0,4,26,11.2,0.6474,0.8198000000000001,0.7251662493912311,1
SV1173,4.66,0,129,79.34,30,8,0,5,31,4.8,0.6262,0.7934,0.7920176744967524,0
SV1174,4.58,1,33,74.44,19,9,0,4,16,9.4,0.5906,0.7444,0.6431263319276045,0
SV1175,6.76,0,52,59.81,15,13,7,6,20,8.3,0.7731999999999999,0.5981000000000001,0.5241906626264733,1
SV1176,8.87,0,59,63.67,18,8,3,3,26,10.3,0.9208999999999998,0.6367,0.5597560620327608,0
SV1177,6.74,0,88,73.77,32,5,2,2,31,16.1,0.7718,0.7376999999999999,0.6490180038584056,0
SV1178,6.32,0,79,81.62,18,8,4,6,24,14.4,0.7424,0.8162,0.5673318203201803,0
SV1179,6.93,0,132,99.61,29,10,0,4,32,16.9,0.7850999999999999,0.9961,0.7768292157153158,0
SV1180,8.46,0,119,77.37,23,9,0,4,24,9.7,0.8922000000000001,0.7737,0.7038802107723496,0
SV1181,6.83,0,105,93.05,26,9,0,2,31,21.1,0.7781,0.9305,0.7267183495546686,0
SV1182,5.88,0,94,94.19,26,14,0,3,20,16.0,0.7116,0.9419,0.6903547289607397,0
SV1183,8.16,0,102,74.53,22,14,5,6,20,12.7,0.8712,0.7453,0.6016104280074925,0
SV1184,7.14,0,64,86.92,21,10,4,9,26,15.6,0.7998,0.8692,0.6546721197369046,0
SV1185,8.8,0,116,74.35,19,14,3,3,34,7.9,0.9159999999999999,0.7434999999999999,0.6407199392627483,0
SV1186,6.77,0,57,97.83,28,8,0,1,32,0.0,0.7738999999999999,0.9783,0.7298225576983464,0
SV1187,4.66,1,115,,27,9,2,1,30,8.4,0.5962000000000001,0.8754000000000001,0.6419068355078176,0
SV1188,,1,126,60.14,25,6,3,6,24,16.5,0.5815,0.6014,0.6100147387009955,1
SV1189,8.98,0,96,80.42,22,15,0,4,30,12.5,0.9285999999999999,0.8042,0.7250553943761281,0
SV1190,9.09,0,85,100.0,35,10,0,5,32,11.2,0.9362999999999999,1.0,0.8270509430733427,0
SV1191,6.23,0,102,75.28,27,13,2,5,26,6.9,0.7361,0.7528,0.6976644133608931,0
SV1192,5.93,0,4,84.72,27,14,0,6,32,0.3,0.7151,0.8472,0.7919068302834964,1
SV1193,8.69,0,99,86.19,26,10,3,4,28,20.5,0.9082999999999999,0.8619,0.648047039489721,0
SV1194,4.84,1,87,62.45,20,13,5,1,21,10.8,0.6088,0.6245,0.5199309950591007,1
SV1195,5.16,1,88,85.66,24,8,2,4,35,9.4,0.6312,0.8565999999999999,0.6799777829073176,0
SV1196,7.46,0,111,57.09,20,6,2,3,26,8.0,0.8222,0.5709000000000001,0.5810420817237307,0
SV1197,5.91,2,88,68.62,22,10,4,2,20,19.5,0.6537,0.6862,0.5380424171340406,1
SV1198,6.49,0,56,94.14,25,6,0,6,24,17.3,0.7543,0.9414,0.7433480349972996,0
SV1199,6.25,0,86,83.35,34,10,1,6,29,6.2,0.7375,0.8334999999999999,0.7845897518952134,0
SV1200,7.01,0,92,73.43,20,10,0,0,25,19.0,0.7907,0.7343000000000001,0.6355875375914983,1
SV1201,8.61,0,93,84.7,28,6,0,6,39,11.1,0.9026999999999998,0.847,0.8298225341101975,0
SV1202,6.64,0,95,77.1,19,14,4,3,20,8.3,0.7647999999999999,0.7709999999999999,0.5587829255711062,0
SV1203,7.47,0,121,78.19,27,11,0,3,32,10.2,0.8229,0.7818999999999999,0.750997735301207,0
SV1204,3.42,3,57,87.85,29,9,3,4,30,7.3,0.44939999999999997,0.8785,0.6677383218310163,1
SV1205,6.43,1,95,67.09,21,9,5,4,28,4.1,0.7201,0.6709,0.5670097901071182,0
SV1206,5.24,2,129,78.61,23,6,4,2,30,16.7,0.6068,0.7861,0.5438802330762954,1
SV1207,4.67,1,38,73.32,24,9,2,4,27,10.7,0.5969,0.7332,0.6508868768907881,0
SV1208,5.18,1,95,54.22,28,8,7,3,30,15.7,0.6326,0.5422,0.5613377427185433,1
SV1209,6.0,0,72,64.19,26,11,3,3,25,13.7,0.72,0.6419,0.6273677215796462,0
SV1210,7.87,0,79,100.0,20,10,0,4,24,15.3,0.8509,1.0,0.6855875327361268,0
SV1211,4.51,1,63,83.77,29,13,0,5,32,0.0,0.5856999999999999,0.8377,0.7904655873427777,1
SV1212,6.55,2,85,58.15,18,21,4,5,17,6.8,0.6984999999999999,0.5815,0.5912106189439987,1
SV1213,5.77,1,140,54.89,18,11,4,6,18,15.4,0.6738999999999999,0.5489,0.5667257630006205,0
SV1214,6.01,0,52,76.32,18,8,2,2,20,4.4,0.7206999999999999,0.7631999999999999,0.5479378765203649,0
SV1215,8.0,0,55,100.0,30,9,0,3,33,14.2,0.8599999999999999,1.0,0.7738358641432155,0
SV1216,7.31,0,51,75.2,25,5,4,4,26,3.7,0.8116999999999999,0.752,0.5473884832857311,0
SV1217,8.51,0,140,97.6,31,10,0,7,32,12.1,0.8956999999999999,0.976,0.8299334245591764,0
SV1218,6.27,0,76,83.28,35,12,2,4,28,21.7,0.7388999999999999,0.8328,0.738089921275398,0
SV1219,5.46,1,89,85.07,27,8,1,4,36,16.6,0.6522,0.8506999999999999,0.7383714678795166,0
SV1220,6.16,0,78,57.96,22,15,1,2,25,0.9,0.7312,0.5796,0.6500554006011618,0
SV1221,6.86,1,62,92.06,25,5,0,9,30,17.1,0.7502,0.9206,0.8115298355069468,0
SV1222,6.76,3,83,72.98,26,14,3,5,26,22.9,0.6831999999999999,0.7298,0.6743119543071681,1
SV1223,4.87,3,140,90.95,31,7,0,6,32,28.8,0.5509,0.9095,0.816297045019629,0
SV1224,6.64,0,132,65.79,22,12,1,2,21,14.9,0.7647999999999999,0.6579,0.62610434709847,0
SV1225,6.84,0,64,80.66,25,11,6,8,32,3.8,0.7787999999999999,0.8066,0.6658079761813862,0
SV1226,10.0,0,109,83.28,19,10,0,5,32,14.6,1.0,0.8328,0.7294899698431225,0
SV1227,9.32,0,65,75.69,17,9,1,4,24,21.6,0.9523999999999999,0.7569,0.6272948542554602,0
SV1228,5.22,0,37,84.07,29,11,0,1,34,10.9,0.6654,0.8406999999999999,0.7450110410458933,0
SV1229,6.07,0,121,74.0,31,9,2,6,30,18.3,0.7248999999999999,0.74,0.7344788907988444,0
SV1230,4.3,2,125,68.26,27,10,0,3,26,7.0,0.5409999999999999,0.6826000000000001,0.7237250050119515,1
SV1231,5.61,0,121,100.0,32,12,0,2,30,14.2,0.6927,1.0,0.7587582711849613,1
SV1232,6.97,0,76,93.73,40,9,0,3,40,0.0,0.7878999999999999,0.9373,0.8666296535071446,0
SV1233,8.31,0,85,66.59,18,4,1,4,25,6.3,0.8816999999999999,0.6659,0.5979378415245069,0
SV1234,5.41,3,112,86.53,27,10,4,5,32,12.0,0.5887,0.8653,0.6639847617643525,1
SV1235,5.52,2,102,66.86,27,12,2,3,22,9.8,0.6263999999999998,0.6686,0.648400345610701,1
SV1236,3.28,0,78,60.23,18,14,5,4,21,4.2,0.5296,0.6023,0.5544929143486976,0
SV1237,6.26,1,41,93.51,28,8,1,1,26,9.0,0.7081999999999999,0.9351,0.6581053970948346,0
SV1238,,2,93,52.44,23,11,5,5,24,14.0,0.5836999999999999,0.5244,0.5925166004259845,1
SV1239,5.71,1,122,91.9,29,10,0,1,28,11.5,0.6697,0.919,0.7177383107566377,1
SV1240,5.18,0,54,74.21,26,7,2,3,25,12.4,0.6626,0.7421,0.6241931062861236,0
SV1241,6.36,1,109,74.83,27,6,2,5,24,16.4,0.7152000000000001,0.7483,0.6419068234210432,0
SV1242,,1,100,84.15,36,12,2,9,34,9.9,0.5402,0.8415,0.839642020738651,0
SV1243,4.3,0,113,86.72,27,9,3,3,22,20.2,0.601,0.8672,0.6055432022433545,0
SV1244,9.69,0,116,65.6,24,13,4,4,28,6.1,0.9783,0.6559999999999999,0.6340419687603709,0
SV1245,4.57,1,69,88.77,25,17,1,3,32,23.6,0.5899000000000001,0.8876999999999999,0.7165804068011871,0
SV1246,4.85,1,41,79.7,29,13,3,3,28,18.7,0.6094999999999999,0.797,0.6700110552375237,1
SV1247,9.26,0,74,59.16,21,8,1,2,32,9.9,0.9481999999999999,0.5916,0.6563315603562001,0
SV1248,10.0,0,117,75.45,24,5,4,6,29,10.3,1.0,0.7545000000000001,0.5822000105786773,0
SV1249,4.74,0,74,98.72,37,7,0,6,34,13.2,0.6317999999999999,0.9872,0.8619733188652592,0
SV1250,5.95,0,69,100.0,27,7,0,4,30,15.6,0.7164999999999999,1.0,0.7555431680343877,0
SV1251,7.01,0,35,88.76,31,16,1,4,38,18.6,0.7907,0.8876000000000001,0.7927676701119486,0
SV1252,9.09,0,140,60.14,27,10,2,4,26,4.0,0.9362999999999999,0.6014,0.6706947129641996,0
SV1253,5.02,4,115,85.36,22,14,1,5,26,14.6,0.5314,0.8536,0.6938432741153383,1
